timestamp,red,ir,label,notes
1764262164.7551222,50002,100004,normal,"Kisi oturuyor, dinlenik halde"
1764262164.7603776,50052,100104,normal,"Kisi oturuyor, dinlenik halde"
1764262164.7654767,50074,100148,normal,"Kisi oturuyor, dinlenik halde"
1764262164.7709901,50152,100304,normal,"Kisi oturuyor, dinlenik halde"
1764262164.776421,50193,100387,normal,"Kisi oturuyor, dinlenik halde"
1764262164.7815437,50243,100486,normal,"Kisi oturuyor, dinlenik halde"
1764262164.787754,50261,100522,normal,"Kisi oturuyor, dinlenik halde"
1764262164.7929301,50328,100657,normal,"Kisi oturuyor, dinlenik halde"
1764262164.7980378,50361,100723,normal,"Kisi oturuyor, dinlenik halde"
1764262164.8031328,50426,100852,normal,"Kisi oturuyor, dinlenik halde"
1764262164.8082247,50458,100917,normal,"Kisi oturuyor, dinlenik halde"
1764262164.8133473,50523,101046,normal,"Kisi oturuyor, dinlenik halde"
1764262164.818416,50550,101101,normal,"Kisi oturuyor, dinlenik halde"
1764262164.8235269,50609,101218,normal,"Kisi oturuyor, dinlenik halde"
1764262164.828844,50637,101275,normal,"Kisi oturuyor, dinlenik halde"
1764262164.8339238,50664,101329,normal,"Kisi oturuyor, dinlenik halde"
1764262164.839119,50721,101442,normal,"Kisi oturuyor, dinlenik halde"
1764262164.8449442,50746,101492,normal,"Kisi oturuyor, dinlenik halde"
1764262164.8500502,50778,101557,normal,"Kisi oturuyor, dinlenik halde"
1764262164.8551247,50807,101614,normal,"Kisi oturuyor, dinlenik halde"
1764262164.8602057,50854,101709,normal,"Kisi oturuyor, dinlenik halde"
1764262164.8652852,50898,101797,normal,"Kisi oturuyor, dinlenik halde"
1764262164.8703592,50949,101898,normal,"Kisi oturuyor, dinlenik halde"
1764262164.875438,50945,101891,normal,"Kisi oturuyor, dinlenik halde"
1764262164.8805115,50981,101962,normal,"Kisi oturuyor, dinlenik halde"
1764262164.8855817,51023,102047,normal,"Kisi oturuyor, dinlenik halde"
1764262164.8906474,51034,102069,normal,"Kisi oturuyor, dinlenik halde"
1764262164.8957112,51064,102129,normal,"Kisi oturuyor, dinlenik halde"
