timestamp,red,ir,label,notes
1764262099.6857882,50000,100001,normal,"Kisi oturuyor, dinlenik halde"
1764262099.690906,50041,100082,normal,"Kisi oturuyor, dinlenik halde"
1764262099.6961613,50076,100153,normal,"Kisi oturuyor, dinlenik halde"
1764262099.7012544,50148,100296,normal,"Kisi oturuyor, dinlenik halde"
1764262099.706356,50181,100363,normal,"Kisi oturuyor, dinlenik halde"
1764262099.7114697,50212,100425,normal,"Kisi oturuyor, dinlenik halde"
1764262099.716591,50291,100582,normal,"Kisi oturuyor, dinlenik halde"
1764262099.7217472,50333,100666,normal,"Kisi oturuyor, dinlenik halde"
1764262099.727011,50353,100706,normal,"Kisi oturuyor, dinlenik halde"
1764262099.7321143,50431,100863,normal,"Kisi oturuyor, dinlenik halde"
1764262099.7371855,50465,100930,normal,"Kisi oturuyor, dinlenik halde"
1764262099.7422705,50511,101022,normal,"Kisi oturuyor, dinlenik halde"
1764262099.747361,50544,101089,normal,"Kisi oturuyor, dinlenik halde"
1764262099.752432,50592,101185,normal,"Kisi oturuyor, dinlenik halde"
1764262099.7575068,50623,101246,normal,"Kisi oturuyor, dinlenik halde"
1764262099.762577,50688,101377,normal,"Kisi oturuyor, dinlenik halde"
1764262099.767658,50703,101406,normal,"Kisi oturuyor, dinlenik halde"
1764262099.7727504,50737,101475,normal,"Kisi oturuyor, dinlenik halde"
1764262099.7778206,50797,101595,normal,"Kisi oturuyor, dinlenik halde"
1764262099.7829177,50817,101635,normal,"Kisi oturuyor, dinlenik halde"
1764262099.788113,50859,101718,normal,"Kisi oturuyor, dinlenik halde"
1764262099.7932234,50890,101781,normal,"Kisi oturuyor, dinlenik halde"
1764262099.798312,50911,101822,normal,"Kisi oturuyor, dinlenik halde"
1764262099.8034103,50968,101937,normal,"Kisi oturuyor, dinlenik halde"
1764262099.8085163,50990,101981,normal,"Kisi oturuyor, dinlenik halde"
1764262099.813614,51007,102015,normal,"Kisi oturuyor, dinlenik halde"
1764262099.8187244,51022,102045,normal,"Kisi oturuyor, dinlenik halde"
1764262099.8238313,51052,102105,normal,"Kisi oturuyor, dinlenik halde"
1764262099.8293931,51084,102169,normal,"Kisi oturuyor, dinlenik halde"
1764262099.8344812,51114,102229,normal,"Kisi oturuyor, dinlenik halde"
1764262099.8395538,51114,102228,normal,"Kisi oturuyor, dinlenik halde"
1764262099.844693,51153,102307,normal,"Kisi oturuyor, dinlenik halde"
1764262099.8497791,51186,102373,normal,"Kisi oturuyor, dinlenik halde"
1764262099.8548582,51186,102372,normal,"Kisi oturuyor, dinlenik halde"
1764262099.8599374,51205,102410,normal,"Kisi oturuyor, dinlenik halde"
1764262099.8650303,51208,102417,normal,"Kisi oturuyor, dinlenik halde"
1764262099.8701108,51212,102424,normal,"Kisi oturuyor, dinlenik halde"
1764262099.8751907,51225,102450,normal,"Kisi oturuyor, dinlenik halde"
1764262099.8802798,51221,102443,normal,"Kisi oturuyor, dinlenik halde"
